feature,contribution
latitude > 37.72,-126483.00661816346
0.00 < ocean_proximity <= 1.00,-51307.43209264155
median_income <= 2.56,-43716.298895205015
-121.81 < longitude <= -118.51,32838.08434496119
population <= 787.00,26046.04764037708
households <= 280.00,25557.84928287431
2125.00 < total_rooms <= 3131.75,14333.533611370789
295.25 < total_bedrooms <= 434.00,-12487.86157092516
18.00 < housing_median_age <= 29.00,1462.8196239325741
