feature,importance
median_income,0.5133567271222628
longitude,0.11230764182559323
latitude,0.11140484595181083
ocean_proximity,0.10975057442051167
housing_median_age,0.05291268866655465
population,0.034010791209800745
total_rooms,0.02470627312825089
total_bedrooms,0.022648858741919485
households,0.018901598933295797
