feature,contribution
households <= 280.00,-216802.91889540726
population <= 787.00,193451.21235441766
295.25 < total_bedrooms <= 434.00,90558.92825550056
2125.00 < total_rooms <= 3131.75,-80786.0678816538
median_income <= 2.56,-34417.56719479953
latitude > 37.72,22508.623744596392
0.00 < ocean_proximity <= 1.00,19697.56732357859
-121.81 < longitude <= -118.51,7656.421504821824
18.00 < housing_median_age <= 29.00,2788.1778945301808
