feature,importance
total_rooms,235763.11279257867
total_bedrooms,217081.88166451297
households,205050.6037594668
population,133448.89948365444
median_income,19507.36229412932
housing_median_age,5104.734759301673
latitude,393.1577162263173
ocean_proximity,69.84125426738319
longitude,-61.7810210187381
